STT,Mã CK,Tên công ty,Sàn CK
1218,HPA,CTCP Thủy tinh Hưng Phú,OTC
1219,HPAuditing,Công ty TNHH Kiểm toán và Tư vấn Tài chính Kế toán HP,KHÁC
1220,HPB,CTCP Bao bì PP,UPCOM
1221,HPD,CTCP Thủy điện ĐăK Đoa,UPCOM
1222,HPE,CTCP Điện tử Chuyên dụng Hanel,OTC
1223,HPG,CTCP Tập đoàn Hòa Phát,HOSE
1224,HPH,CTCP Hóa Chất Hưng Phát Hà Bắc,UPCOM
1225,HPHoatHinhVN,Công ty TNHH MTV Hãng phim Hoạt hình Việt Nam,KHÁC
1226,HPI,CTCP Khu công nghiệp Hiệp Phước,UPCOM
1227,HPL,CTCP Bến xe Tàu Phà Cần Thơ,OTC
1228,HPM,CTCP Xây dựng Thương mại và Khoáng Sản Hoàng Phúc,HNX
1229,HPP,CTCP Sơn Hải Phòng,UPCOM
1230,HPR,CTCP Đầu tư Xây dựng Hồng Phát,OTC
1231,HPRAILCO,CTCP Toa xe Hải Phòng,OTC
1232,HPS,CTCP Đá Xây dựng Hòa Phát,OTC
1233,HPT,CTCP Dịch vụ Công nghệ Tin học HPT,UPCOM
1234,HPTourism,CTCP Du lịch Hải Phòng,OTC
1235,HPU,CTCP 28 Hưng Phú,OTC
1236,HPW,CTCP Cấp nước Hải Phòng,UPCOM
1237,HPX,CTCP Đầu tư Hải Phát,HOSE
1238,HQC,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân,HOSE
1239,HQM,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân Mê Kông,OTC
1240,HRB,CTCP Harec Đầu tư và Thương mại,UPCOM
1241,HRC,CTCP Cao su Hòa Bình,HOSE
1242,HRG,CTCP Cao su Hà Nội,OTC
1243,HRS,CTCP Chứng khoán KS,OTC
1244,HRT,CTCP Vận tải Đường sắt Hà Nội,UPCOM
1245,HSA,CTCP Hestia,UPCOM
1246,HSAC,Công ty TNHH Kiểm toán và Tư vấn Hoàng Sao,KHÁC
1247,HSBC,Ngân hàng TNHH MTV HSBC (Việt Nam),KHÁC
1248,HSC,CTCP Hacinco,OTC
1249,HSG,CTCP Tập đoàn Hoa Sen,HOSE
1250,HSI,CTCP Vật tư Tổng hợp và Phân bón Hóa Sinh,UPCOM
1251,HSKAudit,Công ty TNHH Kiểm toán HSK Việt Nam,KHÁC
1252,HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà,HOSE
1253,HSM,Tổng Công ty cổ phần Dệt may Hà Nội,UPCOM
1254,HSP,CTCP Sơn Tổng hợp Hà Nội,UPCOM
1255,HSSC,CTCP Chứng khoán Hà Nội,OTC
1256,HST,CTCP Phát hành sách và Thiết bị Trường học Hưng Yên,OTC
1257,HSV,CTCP Gang Thép Hà Nội,UPCOM
1258,HT1,CTCP Xi măng Hà Tiên 1,HOSE
1259,HT2,CTCP Xi măng Hà Tiên 2,OTC
1260,HTB,CTCP Xây dựng Huy Thắng,OTC
1261,HTC,CTCP Thương mại Hóc Môn,HNX
1262,HTCJC2,CTCP Công trình Giao thông 2 Hà Nội,OTC
1263,HTE,CTCP Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,UPCOM
1264,HTG,Tổng Công ty cổ phần Dệt may Hòa Thọ,UPCOM
1265,HTH,CTCP Hoa tiêu hàng hải - TKV,UPCOM
1266,HTI,CTCP Đầu tư Phát triển Hạ tầng IDICO,HOSE
1267,HTK,CTCP Đăng kiểm xe cơ giới Hải Dương,OTC
1268,HTL,CTCP Kỹ thuật và Ôtô Trường Long,HOSE
1269,HTM,Tổng Công ty Thương mại Hà Nội - CTCP,UPCOM
1270,HTN,CTCP Hưng Thịnh Incons,HOSE
1271,HTP,CTCP In Sách Giáo khoa Hòa Phát,HNX
1272,HTR,CTCP Đường sắt Hà Thái,UPCOM
1273,HTS,CTCP Thép Hương Thịnh,OTC
1274,HTT,CTCP Thương mại Hà Tây,UPCOM
1275,HTU,CTCP Môi trường và Công trình đô thị Hà Tĩnh ,OTC
1276,HTV,CTCP Logistics Vicem,HOSE
1277,HTW,CTCP Cấp nước Hà Tĩnh,UPCOM
1278,HU1,CTCP Đầu tư và Xây dựng HUD1,HOSE
1279,HU3,CTCP Đầu tư và Xây dựng HUD3,HOSE
1280,HU4,CTCP Đầu tư và Xây dựng HUD4,UPCOM
1281,HU6,CTCP Đầu tư Phát triển Nhà và Đô thị HUD6,UPCOM
1282,HUB,CTCP Xây lắp Thừa Thiên Huế,HOSE
1283,HUD,Tổng Công ty Đầu tư Phát triển Nhà và Đô Thị,KHÁC
1284,Hudeco,CTCP Đầu tư và Phát triển Giáo dục HUDECO,OTC
1285,HUDKienGiang,Công ty TNHH Đầu tư và Phát triển Nhà Kiên Giang,KHÁC
1286,HUG,Tổng Công ty May Hưng Yên - CTCP,UPCOM
1287,Humic,CTCP Phân hữu cơ HUMIC Quảng Ngãi,OTC
1288,HungPhu,CTCP Hưng Phú,OTC
1289,HuongGiangCIC,CTCP Tư vấn Đầu tư và Xây dựng Hương Giang,OTC
1290,HUT,CTCP Tasco,HNX
1291,HUTIC,CTCP Xây lắp Bưu điện Huế,OTC
1292,HuuNghiDaNang,CTCP Sản xuất Thương mại Hữu Nghị Đà Nẵng,OTC
1293,HuuNghiNgheAn,CTCP Hữu Nghị Nghệ An,OTC
1294,HuuToan,CTCP Hữu Toàn,OTC
1295,HUX,CTCP Khoáng sản Thừa Thiên Huế,OTC
1296,HVA,CTCP Đầu tư HVA,UPCOM
1297,HVAC,Công ty TNHH Kiểm toán Hùng Vương,KHÁC
1298,HVB,CTCP Bảo hiểm Hùng Vương,OTC
1299,HVC,CTCP Hưng Vượng,OTC
1300,HVCapital,Công Ty TNHH Quản Lý Quỹ KIM Việt Nam,OTC
1301,HVG,CTCP Hùng Vương,UPCOM
1302,HVH,CTCP Đầu tư và Công nghệ HVC,HOSE
1303,HVN,Tổng Công ty Hàng không Việt Nam - CTCP,HOSE
1304,HVS,CTCP Chứng khoán HVS Việt Nam,OTC
1305,HVT,CTCP Hóa chất Việt Trì,HNX
1306,HVX,CTCP Xi măng VICEM Hải Vân,HOSE
1307,HWS,CTCP Cấp nước Thừa Thiên Huế,UPCOM
1308,I10,CTCP Đầu tư Xây dựng Số 10 IDICO,UPCOM
1309,IACAudit,Công ty TNHH Kiểm toán Tư vấn Độc Lập,KHÁC
1310,IBC,CTCP Đầu tư Apax Holdings,HOSE
1311,IBD,CTCP In Tổng hợp Bình Dương,UPCOM
1312,IBFM,CTCP Quản lý Quỹ Đầu Tư Đỏ,OTC
1313,IBN,Công ty TNHH MTV In báo Nghệ An,UPCOM
1314,ICC,CTCP Xây dựng Công nghiệp (ICC),UPCOM
1315,ICF,CTCP Đầu tư Thương mại Thủy sản,UPCOM
1316,ICG,CTCP Xây dựng Sông Hồng,HNX
1317,ICI,CTCP Đầu tư và Xây dựng Công nghiệp,UPCOM
1318,ICJC,CTCP Đầu tư Xây lắp Thương mại 1,OTC
1319,ICL,CTCP Xuất nhập khẩu Vĩnh Long,OTC
1320,ICN,CTCP Đầu tư Xây dựng Dầu khí IDICO,UPCOM
1321,ICPC,CTCP Hàng Gia dụng Quốc tế,OTC
1322,ICT,CTCP Viễn thông - Tin học Bưu điện,HOSE
1323,IDC,Tổng Công ty IDICO – CTCP,HNX
1324,IDI,CTCP Đầu tư và Phát triển Đa Quốc Gia - IDI,HOSE
1325,IDICOICT,CTCP Đầu Tư Xây dựng và Du lịch IDICO,OTC
1326,IDJ,CTCP Đầu tư IDJ Việt Nam,HNX
1327,IDN,CTCP In và Dịch vụ Đà Nẵng,OTC
1328,IDP,CTCP Sữa Quốc tế,UPCOM
1329,IDPCo,CTCP I.D.P,OTC
1330,IDV,CTCP Phát triển Hạ tầng Vĩnh Phúc,HNX
1331,IETC,CTCP Kinh doanh Thiết bị Công Nghiệp,OTC
1332,IFC,CTCP Thực phẩm Công nghệ Sài Gòn,OTC
1333,IFCVietNam,Công ty TNHH Kiểm toán và Tư vấn Tài chính Quốc tế,KHÁC
1334,IFMC,CTCP Quản lý Quỹ Quốc tế,OTC
1335,IFS,CTCP Thực phẩm Quốc tế,UPCOM
1336,IGL,Công ty TNHH Kiểm toán IGL,KHÁC
1337,IHK,CTCP In Hàng Không,UPCOM
1338,IJC,CTCP Phát triển Hạ tầng Kỹ thuật,HOSE
1339,IKH,CTCP In Khoa học Kỹ thuật,OTC
1340,ILA,CTCP ILA,UPCOM
1341,ILB,CTCP ICD Tân Cảng - Long Bình,HOSE
1342,ILC,CTCP Hợp tác Lao động với nước ngoài,UPCOM
1343,ILS,CTCP Đầu tư Thương mại và Dịch vụ Quốc tế,UPCOM
1344,IME,CTCP Cơ khí và Xây lắp Công nghiệp,UPCOM
1345,IMEXBINHDINH,CTCP Xuất nhập khẩu Bình Định,OTC
1346,IMMA,Công ty TNHH Kiểm toán IMMANUEL,KHÁC
1347,IMP,CTCP Dược phẩm Imexpharm,HOSE
1348,IMT,CTCP Xuất nhập khẩu Tổng hợp và Đầu tư Thành phố Hồ Chí Minh,OTC
1349,IN4,CTCP In Số 4,UPCOM
1350,INC,CTCP Tư vấn Đầu tư IDICO,HNX
1351,Inconess,CTCP Dịch vụ Hỗ trợ Doanh nghiệp và Tư vấn Đầu tư,OTC
1352,Indeco,CTCP Phát triển Hạ tầng Khu Công nghiệp Tây Ninh,OTC
1353,Indovinabank,Ngân hàng TNHH Indovina,KHÁC
1354,INEXIM,CTCP Xuất nhập khẩu Hàng Công nghiệp,KHÁC
1355,IneximDaklak,CTCP Đầu tư Xuất nhập khẩu Đăklăk,OTC
1356,ING,CTCP  Đầu tư và Phát triển Xây dựng,OTC
1357,INN,CTCP Bao bì và In Nông nghiệp,HNX
1358,InPhucYen,CTCP In Phúc Yên,OTC
1359,InSaiGon,CTCP Thương mại Dịch vụ Quảng Cáo In Sài Gòn,OTC
1360,InSo7,CTCP In Số 7,OTC
1361,InTaiChinh,CTCP In Tài chính,OTC
1362,InThongNhat,CTCP In và Thương mại Thống Nhất,OTC
1363,InTienGiang,CTCP In Tiền Giang,OTC
1364,Intimex,CTCP Tập đoàn Intimex,OTC
1365,Intimexco,CTCP Intimex Việt Nam,OTC
1366,InTranPhu,CTCP In Trần Phú,OTC
1367,InVanHoaPham,CTCP In và Văn Hóa Phẩm,OTC
1368,INVESTCOM,CTCP Đầu tư Investcom,OTC
1369,INVESTREAL,CTCP Đầu tư và Kinh doanh Bất động sản,OTC
1370,IPA,CTCP Tập đoàn Đầu tư I.P.A,HNX
1371,IPAM,Công ty TNHH MTV Quản lý Quỹ đầu tư Chứng khoán I.P.A,KHÁC
1372,IPC,Công ty TNHH MTV Phát triển Công nghiệp Tân Thuận,KHÁC
1373,IPH,CTCP In và Phát hành biểu mẫu Thống kê,OTC
1374,IRC,CTCP Cao su Công nghiệp,UPCOM
1375,IRS,CTCP Chứng khoán Quốc tế Hoàng Gia,OTC
1376,ISC,CTCP Chứng khoán Công nghiệp Việt Nam,OTC
1377,ISG,CTCP Vận tải biển và Hợp tác Lao động Quốc tế,UPCOM
1378,ISH,CTCP Thủy điện Srok Phu Miêng IDICO,UPCOM
1379,IST,CTCP ICD Tân Cảng Sóng Thần,UPCOM
1380,ITA,CTCP Đầu tư và Công nghiệp Tân Tạo,HOSE
1381,ITC,CTCP Đầu tư và Kinh doanh Nhà,HOSE
1382,ITD,CTCP Công nghệ Tiên Phong,HOSE
1383,ITOAudit,Công ty TNHH Kiểm toán I.T.O,KHÁC
1384,ITQ,CTCP Tập đoàn Thiên Quang,HNX
1385,ITS,CTCP Đầu tư Thương mại và Dịch vụ - Vinacomin,UPCOM
1386,IVAM,CTCP Quản lý Quỹ Trí tuệ Việt Nam,OTC
1387,IVS,CTCP Chứng khoán Guotai Junan (Việt Nam),HNX
1388,JBC5,CTCP Vật liệu Xây dựng và Xây lắp Số 5,OTC
1389,JIVF,Công ty Tài chính TNHH MTV Quốc tế Việt Nam JACCS,KHÁC
1390,JOS,CTCP Chế biến Thủy sản xuất khẩu Minh Hải,UPCOM
1391,JPMorgan,Ngân hàng JP Morgan Chase N.A Chi Nhánh Thành phố Hồ Chí Minh,KHÁC
1392,JSC,CTCP Đầu tư và Xây dựng Cầu đường Hà Nội,OTC
1393,JSI,Công ty TNHH Chứng khoán Nhật Bản,OTC
1394,JVC,CTCP Thiết bị Y tế Việt Nhật,HOSE
1395,KAC,CTCP Đầu tư Địa ốc Khang An,UPCOM
1396,KAL,CTCP Nhôm Khánh Hoà,OTC
1397,KASJSC,CTCP Xây lắp và Dịch vụ Bưu điện Kiên Giang,OTC
1398,KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,HOSE
1399,KBE,CTCP Sách Thiết bị Trường học Kiên Giang,OTC
1400,KBT,CTCP Gạch ngói Kiên Giang,OTC
1401,KCB,CTCP khoáng Sản và Luyện Kim Cao Bằng,UPCOM
1402,KCE,CTCP Bê tông Ly tâm Điện Lực Khánh Hòa,UPCOM
1403,KCNBacGiang,Công ty Phát triển Hạ tầng Khu Công nghiệp Bắc Giang,KHÁC
1404,KDC,CTCP Tập đoàn KIDO,HOSE
1405,KDF,CTCP Thực phẩm Đông lạnh KIDO,KHÁC
1406,KDH,CTCP Đầu tư và Kinh doanh Nhà Khang Điền,HOSE
1407,KDM,CTCP Tổng Công ty Phát triển Khu đô thị Dân cư mới,HNX
1408,KGM,CTCP Xuất nhập khẩu Kiên Giang,UPCOM
1409,KGTICJC,CTCP Xây dựng Giao thông Thuỷ Lợi Kiên Giang,OTC
1410,KGU,CTCP Phát triển Đô thị Kiên Giang,OTC
1411,KHA,CTCP Đầu tư và Dịch vụ Khánh Hội,UPCOM
1412,KHAFEED,Công ty TNHH MTV Thức ăn Chăn nuôi Khatoco,KHÁC
1413,Khaithacda,CTCP Khai Thác Đá Thừa Thiên Huế,OTC
1414,KhanhTan,CTCP Khánh Tân,OTC
1415,KHATOCO,CTCP In Bao bì Khatoco,OTC
1416,KHB,CTCP Khoáng sản Hòa Bình,UPCOM
1417,KHD,CTCP Khai thác Chế biến Khoáng sản Hải Dương,UPCOM
1418,KHG,CTCP Tập đoàn Khải Hoàn Land,HOSE
1419,KHL,CTCP khoáng Sản và Vật liệu Xây dựng Hưng Long,UPCOM
1420,KHOANGSAN4,CTCP Phát triển Khoáng sản 4,OTC
1421,KhoangSanPhuYen,CTCP Khoáng sản Phú Yên,OTC
1422,KhoangSanSongDa,CTCP Khai Thác và Chế Biến Khoáng Sản Sông Đà,OTC
1423,KhoaVietTiep,CTCP Khóa Việt - Tiệp,OTC
1424,KHP,CTCP Điện lực Khánh Hòa,HOSE
1425,KHS,CTCP Kiên Hùng,HNX
1426,KHW,CTCP Cấp thoát nước Khánh Hòa,UPCOM
1427,Kido,CTCP KIDO,OTC
1428,KiemNghia,CTCP Kiềm Nghĩa,OTC
1429,KienGiangPetro,CTCP Dầu khí Dương Đông Kiên Giang,OTC
1430,KienHungAudit,Công ty TNHH Kế toán Kiểm toán và Tin học Kiến Hưng,KHÁC
1431,KienTrucADC,CTCP Xây dựng Trang trí Kiến trúc ADC,OTC
1432,KIENTUONG,Công ty TNHH MTV Cấp thoát nước và Môi trường Kiến Tường,KHÁC
1433,Kigitraco,CTCP Kinh doanh Nông Sản Kiên Giang,OTC
1434,KIGIWI,CTCP Vận tải Thuỷ Bộ Kiên Giang,OTC
1435,KimAnh,CTCP Chè Kim Anh,OTC
1436,KimKhiBacThai,CTCP Kim khí Bắc Thái,OTC
1437,KimLien,CTCP Du lịch Kim Liên,OTC
1438,KimOanh,CTCP Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh,OTC
1439,KimTuThap,CTCP Công nghệ Mới Kim Tự Tháp Việt Nam,OTC
1440,KinhDoLand,CTCP Địa Ốc Kinh Đô,OTC
1441,KIP,CTCP K.I.P Việt Nam,UPCOM
1442,KIS,CTCP Chứng khoán KIS Việt Nam,OTC
1443,KISUCO,CTCP Mía Đường Kiên Giang,OTC
1444,KKC,CTCP Tập Đoàn Thành Thái,HNX
1445,KLB,Ngân hàng TMCP Kiên Long,UPCOM
1446,KLF,CTCP Đầu tư Thương mại và Xuất nhập khẩu CFS,HNX
1447,KLM,CTCP Kim loại màu Nghệ Tĩnh,UPCOM
1448,KLS,CTCP Chứng khoán Kim Long,OTC
1449,KMF,CTCP Mirae Fiber,OTC
1450,KMR,CTCP Mirae,HOSE
1451,KMT,CTCP Kim khí Miền Trung,HNX
1452,KNITEXIM,CTCP Haprosimex Thăng Long,OTC
1453,KoreaLife,Công ty TNHH Bảo hiểm Nhân thọ Hàn Quốc Việt Nam,KHÁC
1454,KOS,CTCP KOSY,HOSE
1455,KPC,CTCP Đầu tư Sản xuất Thương mại Kim Phong,OTC
1456,KPF,CTCP Đầu tư Tài chính Hoàng Minh,HOSE
1457,KPMG,Công ty TNHH KPMG Việt Nam,KHÁC
1458,KRESTON,Công ty TNHH Kiểm toán KRESTON ACA Việt Nam,KHÁC
1459,KSA,CTCP Công nghiệp khoáng sản Bình Thuận ,OTC
1460,KSB,CTCP Khoáng sản và Xây dựng Bình Dương,HOSE
1461,KSC,CTCP Muối Khánh Hòa,OTC
1462,KSD,CTCP Đầu tư DNA,HNX
1463,KSE,CTCP Xuất khẩu Thủy sản Khánh Hòa,OTC
1464,KSF,CTCP Tập đoàn KSFinance,HNX
1465,KSG,CTCP Khoáng sản và Vật liệu Xây dựng Gia Lai,OTC
1466,KSH,CTCP DAMAC GLS,UPCOM
1467,KSHCPhuTho,Xí nghiệp Khai thác - Dịch vụ Khoáng sản và Hóa chất Phú Thọ,KHÁC
1468,KSIAudit,Công ty TNHH Kiểm toán KSI Việt Nam,KHÁC
1469,KSK,CTCP Khoáng sản Luyện kim màu,OTC
1470,KSQ,CTCP CNC Capital Việt Nam,HNX
1471,KSS,CTCP Khoáng sản Na Rì Hamico,OTC
1472,KST,CTCP KASATI,HNX
1473,KSV,Tổng Công ty Khoáng sản TKV - CTCP,UPCOM
1474,KTAChau,Công ty TNHH Kiểm toán Á Châu,KHÁC
1475,KTB,CTCP Đầu tư Khoáng sản Tây Bắc,OTC
1476,KTBX,CTCP Bến xe KonTum,OTC
1477,KTC,CTCP Thương mại Kiên Giang,UPCOM
1478,KTCAudit,Công ty TNHH Kiểm toán và Tư vấn Doanh Nghiệp KTC,KHÁC
1479,KTL,CTCP Kim Khí Thăng Long,UPCOM
1480,KTMienTrung,Công ty TNHH Kiểm toán Miền Trung,KHÁC
1481,KTQuocgia,Công ty TNHH Kiểm toán Độc lập Quốc gia Việt Nam,KHÁC
1482,KTS,CTCP Đường Kon Tum,HNX
1483,KTSKienGiang,Công ty TNHH MTV Thương mại Dịch vụ Kiên Giang,KHÁC
1484,KTT,CTCP Tập đoàn Đầu tư KTT,HNX
1485,KTU,CTCP Môi trường Đô thị Kon Tum,OTC
1486,KTV,Công ty TNHH Kiểm toán KTV,KHÁC
1487,KTXaydungVN,Công ty TNHH Kiểm toán Tư vấn Xây dựng Việt Nam,KHÁC
1488,KVAC,Công ty TNHH Kiểm toán Tư vấn Khang Việt,KHÁC
1489,KVC,CTCP Sản xuất Xuất nhập khẩu Inox Kim Vĩ,HNX
1490,KVS,CTCP Chứng khoán Kenanga Việt Nam,OTC
1491,L10,CTCP Lilama 10,HOSE
1492,L12,CTCP Licogi 12,UPCOM
1493,L14,CTCP Licogi 14,HNX
1494,L18,CTCP Đầu tư và Xây dựng Số 18,HNX
1495,L35,CTCP Cơ khí Lắp máy Lilama,HNX
1496,L40,CTCP Đầu Tư và Xây dựng 40,HNX
1497,L43,CTCP Lilama 45.3,HNX
1498,L44,CTCP Lilama 45.4,UPCOM
1499,L45,CTCP Lilama 45.1,UPCOM
1500,L61,CTCP Lilama 69-1,HNX
1501,L62,CTCP Lilama 69-2,HNX
1502,L63,CTCP Lilama 69-3,UPCOM
1503,LacHong,CTCP Đầu tư Lạc Hồng,OTC
1504,LAF,CTCP Chế biến hàng Xuất khẩu Long An,HOSE
1505,LAI,CTCP Đầu Tư Xây dựng Long An IDICO,UPCOM
1506,LamDong,CTCP Xây dựng Số 1 Lâm Đồng,OTC
1507,LamNghiepBD,Công ty TNHH MTV Lâm nghiệp Bình Dương,KHÁC
1508,LamSankienGiang,CTCP Nông Lâm Sản Kiên Giang,OTC
1509,LaNga,CTCP Đầu tư La Ngà,OTC
1510,Lanmak,CTCP Đầu tư Xây dựng Bất động sản Lanmak,OTC
1511,LaoDongQuocTe,CTCP Xây dựng và Cung ứng Lao động Quốc tế,OTC
1512,LaoVietBank,Ngân hàng Liên doanh Lào - Việt,KHÁC
1513,LAS,CTCP Supe Phốt phát và Hóa chất Lâm Thao,HNX
1514,Lasotra,CTCP Thương mại Lạng Sơn,OTC
1515,LAW,CTCP Cấp thoát nước Long An,UPCOM
1516,LBC,CTCP Thương mại - Đầu tư Long Biên,UPCOM
1517,LBE,CTCP Sách và Thiết bị Trường học Long An,HNX
1518,LBM,CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng,HOSE
1519,LCC,CTCP Xi măng Hồng Phong,UPCOM
1520,LCD,CTCP Lắp máy - Thí nghiệm Cơ điện,HNX
1521,LCG,CTCP Licogi 16,HOSE
1522,LCM,CTCP Khai thác và Chế biến khoáng sản Lào Cai,HOSE
1523,LCO,CTCP Licogi 16.1,OTC
1524,LCS,CTCP Licogi 166,HNX
1525,LCW,CTCP Nước sạch Lai Châu,UPCOM
1526,LDG,CTCP Đầu tư LDG,HOSE
1527,LDP,CTCP Dược Lâm Đồng (Ladophar),HNX
1528,LDW,CTCP Cấp thoát nước Lâm Đồng,UPCOM
1529,LEC,CTCP Bất động sản Điện lực Miền Trung,HOSE
1530,LeQuanTech,Công ty TNHH Kỹ thuật Lê Quân,KHÁC
1531,LG9,CTCP Cơ giới và Xây lắp Số 9,UPCOM
1532,LGC,CTCP Đầu tư Cầu đường CII,HOSE
1533,LGL,CTCP Đầu tư và Phát triển Đô thị Long Giang,HOSE
1534,LGM,CTCP Giày da và May mặc Xuất khẩu,UPCOM
1535,LHC,CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng,HNX
1536,LHG,CTCP Long Hậu,HOSE
1537,Liberty,CTCP Quê Hương - Liberty,OTC
1538,LibertyInsurance,Công ty TNHH Bảo hiểm Phi Nhân thọ Liberty Việt Nam,KHÁC
1539,LIBREXCO,Công ty TNHH MTV Chăn nuôi Tiền Giang,KHÁC
1540,LIC,Tổng Công ty LICOGI - CTCP,UPCOM
1541,Licogi16,CTCP Licogi 16 M&C,OTC
1542,Licogi162,CTCP Xây dựng Licogi 16.2,OTC
1543,Licogi165,CTCP Licogi 16.5,OTC
1544,Licogi169,CTCP Licogi 16.9,OTC
1545,Lidovit,CTCP Công nghiệp và Thương mại LIDOVIT,OTC
1546,LIG,CTCP Licogi 13,HNX
1547,LIKSIN,Tổng Công ty Công nghiệp - In - Bao bì Liksin TNHH MTV,KHÁC
1548,LilamaHN,CTCP Lilama Hà Nội,OTC
1549,LilamaPhaLai,CTCP Lilama 69-1 Phả Lại,OTC
1550,LinhGas,CTCP Linh Gas Việt Nam,OTC
1551,LIX,CTCP Bột Giặt Lix,HOSE
1552,LKW,CTCP Cấp nước Long Khánh,UPCOM
1553,LLM,Tổng Công ty Lắp máy Việt Nam - CTCP,UPCOM
1554,LM3,CTCP Lilama 3,UPCOM
1555,LM7,CTCP Lilama 7,HNX
1556,LM8,CTCP Lilama 18,HOSE
1557,LMC,CTCP Khoáng sản Latca,UPCOM
1558,LMH,CTCP Quốc Tế Holding,UPCOM
1559,LMI,CTCP Đầu tư Xây dựng Lắp máy IDICO,UPCOM
1560,LMR,CTCP Liên Minh,OTC
1561,LNC,CTCP Lệ Ninh,UPCOM
1562,LO5,CTCP Lilama 5,UPCOM
1563,LOGOS,Công ty TNHH với Kế toán và Kiểm toán,KHÁC
1564,LongTho,CTCP Long Thọ,OTC
1565,LotusIMC,CTCP Quản lý Quỹ Bông Sen,OTC
1566,LPB,Ngân hàng TMCP Bưu điện Liên Việt,HOSE
1567,LPT,CTCP Thương mại và Sản xuất Lập Phương Thành,UPCOM
1568,LQN,CTCP Licogi Quảng Ngãi,UPCOM
1569,LSG,CTCP Bất động sản Sài Gòn Vina,OTC
1570,LSS,CTCP Mía Đường Lam Sơn,HOSE
1571,LSX,Sở Giao dịch Chứng khoán Campuchia,KHÁC
1572,LTC,CTCP Điện nhẹ Viễn Thông,UPCOM
1573,LTG,CTCP Tập đoàn Lộc Trời,UPCOM
1574,LungLo3,Công ty TNHH MTV Lũng Lô 3,KHÁC
1575,LuongMyPoultry,CTCP Giống Gia Cầm Lương Mỹ,OTC
1576,LuongSonHoaBinh,CTCP Xi măng Vinaconex Lương Sơn Hoà Bình,OTC
1577,LUT,CTCP Đầu tư Xây dựng Lương Tài,HNX
1578,LVC,CTCP Quản lý Quỹ Lộc Việt,OTC
1579,LVN,CTCP Len Việt Nam,OTC
1580,LVS,CTCP Chứng khoán Liên Việt,OTC
1581,LWS,CTCP Cấp nước Tỉnh Lào Cai,UPCOM
1582,LYF,CTCP Lương thực Lương Yên,UPCOM
1583,M10,Tổng Công ty May 10 - CTCP,UPCOM
1584,MA1,CTCP Thiết bị,UPCOM
1585,MAAC,Công ty TNHH Quản Lý - Kiểm toán - Tư vấn M.A.A.C,KHÁC
1586,MAC,CTCP Cung ứng và Dịch vụ Kỹ thuật Hàng Hải,HNX
1587,MAFC,Công ty Tài chính TNHH MTV Mirae Asset,KHÁC
1588,MAFEQI,Quỹ đầu tư Cổ phiếu Manulife,OTC
1589,MAFPF1,Quỹ đầu tư tăng trưởng Manulife,OTC
1590,MaiDong,Công ty TNHH MTV Mai Động,KHÁC
1591,Manulife,Công ty TNHH Bảo hiểm Nhân thọ Manulife Việt Nam,KHÁC
1592,ManulifeAM,Công ty TNHH Quản lý Quỹ Manulife Việt Nam,KHÁC
1593,MAS,CTCP Dịch vụ Hàng không Sân bay Đà Nẵng,HNX
1594,MAX,CTCP Khai khoáng và Cơ khí Hữu Nghị Vĩnh Sinh,OTC
1595,MayDongA,CTCP Dệt may Đông Á,OTC
1596,MayLongAn,CTCP Cơ khí và Chế tạo Máy Long An,OTC
1597,MayPhuongDong,CTCP May Phương Đông,OTC
1598,MaySaiGon2,CTCP May Sài Gòn 2,OTC
1599,MaySaiGon3,CTCP May Sài Gòn 3,OTC
1600,MayThangLong,CTCP May Thăng Long,OTC
1601,MayVietThang,CTCP May Việt Thắng,OTC
1602,MayVietThinh,CTCP May Việt Thịnh,OTC
1603,Mazars,Công ty TNHH Mazars Việt Nam,KHÁC
1604,MBB,Ngân hàng TMCP Quân Đội,HOSE
1605,MBCapital,CTCP Quản lý Quỹ đầu tư MB,OTC
1606,MBEF1,Quỹ đầu tư Cổ phần MB Capital 1,KHÁC
1607,MBG,CTCP Tập đoàn MBG,HNX
1608,MBKE,Công ty TNHH MTV Chứng khoán Maybank Kim Eng,KHÁC
1609,MBN,CTCP Môi trường và Công trình đô thị Bắc Ninh,UPCOM
1610,MBS,CTCP Chứng khoán MB,HNX
1611,MBVF,Quỹ đầu tư Giá trị MB Capital,OTC
1612,MC3,CTCP Khoáng sản 3 - Vimico,UPCOM
1613,MCC,CTCP Gạch ngói Cao cấp,HNX
1614,Mccons,CTCP Thi công Cơ giới và Dịch vụ,OTC
1615,MCF,CTCP Xây lắp Cơ khí và Lương thực Thực phẩm,HNX
1616,MCG,CTCP Năng lượng và Bất động sản MCG,HOSE
1617,MCH,CTCP Hàng tiêu dùng Masan,UPCOM
1618,MCI,CTCP Đầu tư Xây dựng và Phát triển Vật liệu IDICO,UPCOM
1619,MCJ,CTCP Thiết bị Phụ tùng,OTC
